FMID,MarketName,Website,street,city,County,State,zip,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,x,y,Location,Credit,WIC,WICcash,SFMNP,SNAP,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,updateTime
1005969,"""Y Not Wednesday Farmers Market at Town Center""",http://www.sandlercenter.org/index/ynotwednesdays,"201 Market Street,",Virginia Beach,Virginia Beach,Virginia,23462,June to August,Wed:5:00 PM - 8:00 PM;,,,,,,,-76.135361,36.841885,Other,Y,N,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,Y,5/5/2012 17:56
1008044,10:10 Farmers Market,http://www.1010farmersmarket.com,5960 Stewart Parkway,Douglasville,Douglas,Georgia,30135,January to December,Thu:4:00 pm - 7:00 pm;,,,,,,,-84.7689,33.7196,"Faith-based institution (e.g., church, mosque, synagogue, temple)",Y,N,N,N,N,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N,7/18/2012 13:51
1000618,100-Mile Market,http://www.peoplesfoodco-op.org/,507 Harrison Street,Kalamazoo,Kalamazoo,Michigan,49007,05/01/2013 to 10/30/2013,Wed: 3:00 PM-7:00 PM;,,,,,,,-85.57502,42.29596,Private business parking lot,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,N,N,7/1/2013 23:29
1002454,112st Madison Avenue,,112th Madison Avenue,New York,New York,New York,10029,July to November,Tue:8:00 am - 5:00 pm;Sat:8:00 am - 8:00 pm;,,,,,,,-73.9493,40.7939,Private business parking lot,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,3/1/2012 10:38
1005586,12th & Brandywine Urban Farm Market,,12th & Brandywine Streets,Wilmington,New Castle,Delaware,19801,06/17/2013 to 10/14/2013,Mon: 4:00 PM-7:00 PM;,,,,,,,-75.534417,39.7421,"On a farm from: a barn, a greenhouse, a tent, a stand, etc",Y,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,6/13/2013 13:33
1008071,14&U Farmers' Market,,1400 U Street NW,Washington,District of Columbia,District of Columbia,20009,05/04/2013 to 11/23/2013,Sat: 9:00 AM-1:00 PM;,,,,,,,-77.03205,38.916998,Other,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,N,Y,N,N,Y,Y,N,N,N,N,6/10/2013 23:31
1007098,17 on the Square,,17 Lincoln Square,Gettysburg,Adams,Pennsylvania,17325,,,,,,,,,-77.2316,39.8313,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1000059,175th Street Greenmarket,http://www.grownyc.org,W 175 St. & Broadway,New York,New York,New York,10033,06/27/2013 to 11/21/2013,Thu: 8:00 AM-5:00 PM;,,,,,,,-73.9385,40.8462,Other,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,7/24/2013 11:08
1003877,17th Ave Market,http://www.iatp.org/minimarkets,1622 6th St NE,Minneapolis,Hennepin,Minnesota,55413,June to September,Wed:3:00 pm - 7:00 pm;,,,,,,,-93.2591,45.0044,"Faith-based institution (e.g., church, mosque, synagogue, temple)",Y,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,4/28/2011 14:33
1002619,17th Street Farmers Market,http://www.17thstreetfarmersmarket.com,17th & Main Streets,Richmond,Henrico,Virginia,23219,,,,,,,,,-77.4886,37.5583,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1000709,19th Annual Highlands Business Partnership Farmers Market,http://www.highlandsnj.com,71 Waterwitch Avenue,Highlands,Monmouth,New Jersey,7732,06/29/2013 to 11/02/2013,Sat: 8:30 AM-2:00 PM;,,,,,,,-73.994358,40.404837,Local government building grounds,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,Y,N,N,6/26/2013 15:04
